rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/n_updates,train/loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/learning_rate,train/std,train/policy_gradient_loss,train/value_loss,train/explained_variance,eval/mean_reward,eval/mean_ep_length
600.0,0,2048,-1183.1066156666668,1,3079,,,,,,,,,,,,,
600.0,2,4096,-1286.2335036666668,2,2036,10,549.5418701171875,-2.832422287762165,0.009423828125,0.2,0.0021244225,0.0002995904,0.9948784112930298,-0.0025372527605213692,2581.3852384567263,0.001645505428314209,,
600.0,3,6144,-1273.5224131,3,1787,20,499.01495361328125,-2.8207764200866223,0.023486328125,0.2,0.005514181,0.00029918079999999997,0.986617922782898,-0.003412199191370746,1396.0236894607544,-0.04474508762359619,,
600.0,4,8192,-1291.194944769231,4,1700,30,425.4029846191406,-2.81525097116828,0.028857421875,0.2,0.005645166,0.0002987712,0.9908146858215332,-0.0037398863307316786,1172.4994352340698,0.01881122589111328,,
,,10000,,,,40,385.2661437988281,-2.8261477619409563,0.01376953125,0.2,0.0041086096,0.0002983616,0.9965146780014038,-0.0018819250675733202,913.2464225769043,-0.371177077293396,-1648.7717142105103,600.0
593.2941176470588,7,10240,-1185.1485209411765,5,1444,,,,,,,,,,,,,
584.6666666666666,8,12288,-1112.368204952381,6,1465,50,1940.162353515625,-2.834086885303259,0.0513671875,0.2,0.005881607,0.000297952,1.0009984970092773,-0.004492295368982014,1910.553294467926,-0.0007419586181640625,,
586.5833333333334,9,14336,-1104.0346597083335,7,1466,60,1290.9793701171875,-2.8459716200828553,0.023095703125,0.2,0.004224362,0.0002975424,1.0068621635437012,-0.002395464389701374,3666.5372911453246,0.004744827747344971,,
586.0,11,16384,-1087.3646353333334,8,1465,70,578.39990234375,-2.849876545369625,0.011474609375,0.2,0.0034125876,0.0002971328,1.0032283067703247,-0.0023346860776655375,1508.6488159179687,0.0004779696464538574,,
584.8709677419355,12,18432,-1074.1343684516128,9,1467,80,858.9507446289062,-2.854951858520508,0.023779296875,0.2,0.0041159866,0.0002967232,1.0147229433059692,-0.002556729923526291,1407.5822638511659,-0.00028693675994873047,,
,,20000,,,,90,335.010986328125,-2.8616110853850842,0.00751953125,0.2,0.0035406726,0.00029631359999999997,1.0089049339294434,-0.0022143576316011604,1289.360191822052,-0.0010949373245239258,-1800.0,600.0
586.2058823529412,14,20480,-1105.5844878235296,10,1375,,,,,,,,,,,,,
587.6578947368421,16,22528,-1129.665065763158,11,1382,100,305.5251159667969,-2.858181870728731,0.026513671875,0.2,0.0053858534,0.000295904,1.0118545293807983,-0.005516461811203044,839.6158145904541,-0.002648472785949707,,
588.560975609756,17,24576,-1127.132835609756,12,1389,110,231.81053161621094,-2.86270948946476,0.03251953125,0.2,0.0053278347,0.0002954944,1.0118224620819092,-0.00527828217309434,619.1206330299377,-0.0007045269012451172,,
589.5777777777778,19,26624,-1124.2674910888888,13,1393,120,194.5707244873047,-2.8728519856929777,0.028955078125,0.2,0.0061066286,0.0002950848,1.0231835842132568,-0.0037543988903053103,715.0720854759217,-0.0002980232238769531,,
590.2291666666666,20,28672,-1132.9345982708335,14,1401,130,262.5517578125,-2.878049328178167,0.015771484375,0.2,0.0051614945,0.0002946752,1.017324686050415,-0.0019951348251197485,748.7137011528015,-0.00015616416931152344,,
,,30000,,,,140,203.87937927246094,-2.8646574705839156,0.033935546875,0.2,0.006440386,0.0002942656,1.0089120864868164,-0.004097415065916721,832.0405290603637,-0.00011551380157470703,-1156.5340906381607,600.0
590.8039215686274,23,30720,-1140.8858524705884,15,1330,,,,,,,,,,,,,
591.4727272727273,24,32768,-1142.5226698727274,16,1338,150,239.7438201904297,-2.8571502707898615,0.0328125,0.2,0.0050405758,0.000293856,1.0116904973983765,-0.00407216094317846,609.0620336532593,-0.00016760826110839844,,
591.9137931034483,25,34816,-1144.1458993275862,17,1347,160,544.9841918945312,-2.8547799326479435,0.03583984375,0.2,0.005661278,0.00029344639999999997,1.0135505199432373,-0.0033437967344070786,1031.0945996284486,-1.8596649169921875e-05,,
592.4354838709677,27,36864,-1152.5295229032258,18,1354,170,334.667236328125,-2.862593302130699,0.000927734375,0.2,0.0017805703,0.0002930368,1.0136544704437256,-0.0011608063097810373,749.7133630752563,-1.7881393432617188e-05,,
592.7846153846153,28,38912,-1157.6244819538463,19,1358,180,261.9157409667969,-2.862725429236889,0.01337890625,0.2,0.003603334,0.00029262719999999996,1.0134482383728027,-0.00365060673939297,778.8482672691346,5.4836273193359375e-06,,
,,40000,,,,190,311.14453125,-2.8642570212483407,0.009326171875,0.2,0.0027351163,0.0002922176,1.0141253471374512,-0.0022621483338298278,680.3089634895325,-6.961822509765625e-05,-1350.0000004023314,600.0
593.2028985507246,30,40960,-1163.4812798985508,20,1323,,,,,,,,,,,,,
593.4861111111111,32,43008,-1170.5708694583334,21,1329,200,197.86761474609375,-2.8624092280864715,0.006640625,0.2,0.0028253044,0.000291808,1.012847900390625,-0.002059598543564789,439.4246928215027,-4.589557647705078e-05,,
593.7466666666667,33,45056,-1175.2502837200002,22,1335,210,195.06651306152344,-2.8553426623344422,0.02021484375,0.2,0.0040636873,0.0002913984,1.0049715042114258,-0.003917662559251767,450.0279664993286,-6.020069122314453e-05,,
594.0632911392405,35,47104,-1181.1671410759495,23,1339,220,182.48895263671875,-2.8497529819607736,0.011572265625,0.2,0.0035514594,0.0002909888,1.007274866104126,-0.0024304434991790913,493.84831256866454,-7.30752944946289e-05,,
594.280487804878,36,49152,-1187.3439529878049,24,1345,230,353.4198303222656,-2.8601843640208244,0.04970703125,0.2,0.012639666,0.00029057919999999997,1.021260142326355,-0.0016436749312561006,470.7693690776825,-1.8358230590820312e-05,,
,,50000,,,,240,199.9055633544922,-2.8769532561302187,0.006494140625,0.2,0.002546885,0.0002901696,1.0164775848388672,-0.002378940672497265,496.02389669418335,-1.4424324035644531e-05,-1350.0000001848675,600.0
594.546511627907,38,51200,-1195.2382765813954,25,1321,,,,,,,,,,,,,
594.7303370786517,39,53248,-1201.9040239325843,26,1334,250,107.027099609375,-2.8708495408296586,0.0119140625,0.2,0.004728452,0.00028975999999999996,1.015331745147705,-0.0024502966974978336,278.3188295841217,-2.002716064453125e-05,,
594.9021739130435,41,55296,-1204.9962461413045,27,1341,260,131.33782958984375,-2.8683103799819945,0.00830078125,0.2,0.0045781196,0.0002893504,1.0135573148727417,-0.0014150803537631873,315.4428685665131,-7.62939453125e-06,,
595.1145833333334,42,57344,-1208.7260689895834,28,1347,270,181.89111328125,-2.8555689252913,0.026611328125,0.2,0.006103484,0.0002889408,1.0001156330108643,-0.0026857728837057946,339.8855622291565,-6.318092346191406e-06,,
